,list_id,song_id,song_name,artist,popularity,release_date,list_name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
66,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7BPYYioe9wCHQvomRxcIoJ,Shivlock,Cabeiri,7,2018-09-14,Sanctuary Of Sounds,0.921,0.107,193.965,0.0685,0.0137,0.8,0.439,532171,-8.683,0.0981,0,5
67,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7ADfgR8WoTu2cOrPLRI1HB,Juggling Molecules - Desert Dwellers Remix,Shpongle,12,2022-09-09,Sanctuary Of Sounds,0.623,0.116,106.0,0.0332,0.00476,0.813,0.69,466415,-10.193,0.0768,1,1
68,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7ADfgR8WoTu2cOrPLRI1HB,Juggling Molecules - Desert Dwellers Remix,Shpongle,12,2022-09-09,Sanctuary Of Sounds,0.623,0.116,106.0,0.0332,0.00476,0.813,0.69,466415,-10.193,0.0768,1,1
69,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5dgPDRDT46K68Xq4CGvMEF,Govindam Prayer,Sati Ethnica,9,2022-11-04,Sanctuary Of Sounds,0.524,0.153,102.927,0.0315,0.656,0.0317,0.527,342250,-6.978,0.0466,1,4
70,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4iDLAVlNcRhnQ1wy34IyaR,Sarasvati,eelison,2,2021-07-01,Sanctuary Of Sounds,0.475,0.104,90.093,0.0325,0.0536,0.188,0.631,368000,-10.817,0.054,1,2
71,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4iDLAVlNcRhnQ1wy34IyaR,Sarasvati,eelison,2,2021-07-01,Sanctuary Of Sounds,0.475,0.104,90.093,0.0325,0.0536,0.188,0.631,368000,-10.817,0.054,1,2
72,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,3pF5NcTfp9fWPZ0lnqBO5g,Radhe 54 - Mose Remix,Mose,30,2019-11-19,Sanctuary Of Sounds,0.822,0.533,101.012,0.0337,0.0221,0.0318,0.692,644190,-7.683,0.291,0,11
73,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6kB5GyLcujqOpWD1JxqyJK,Indian Village - Original Mix,Isean,0,2016-02-17,Sanctuary Of Sounds,0.736,0.411,102.001,0.0311,0.0368,0.559,0.58,504000,-8.736,0.0657,1,2
74,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4XmRWTY55Nb2qUv155OKA5,More Balam - Original Mix,Tali Muss,17,2020-03-02,Sanctuary Of Sounds,0.67,0.0664,123.006,0.0472,0.00111,0.894,0.775,440976,-7.548,0.486,1,9
75,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4XmRWTY55Nb2qUv155OKA5,More Balam - Original Mix,Tali Muss,17,2020-03-02,Sanctuary Of Sounds,0.67,0.0664,123.006,0.0472,0.00111,0.894,0.775,440976,-7.548,0.486,1,9
76,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,3Fl9HMWtUoek7Hck2yPuKe,Om Ganesha (Scott Nice Remix),Mose,30,2022-08-23,Sanctuary Of Sounds,0.652,0.116,80.006,0.0407,0.106,0.00159,0.6,353294,-8.825,0.335,1,7
77,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,1JXqxEqlsn1k1GbLe7MxtZ,Pag Dhariye,Tali Muss,16,2021-06-29,Sanctuary Of Sounds,0.785,0.129,120.011,0.0481,0.00422,0.693,0.73,360000,-9.768,0.118,0,4
78,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6BrCstbGf2HBthDZJr3cNN,Goa - Original Mix,Alexander Alar,17,2021-05-07,Sanctuary Of Sounds,0.812,0.0681,119.995,0.0522,0.000194,0.878,0.724,286000,-6.392,0.101,1,7
79,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,0roEbuQWlmehZdjb6d68mC,Ritual Actions,Isean,0,2018-07-24,Sanctuary Of Sounds,0.717,0.0729,120.078,0.0467,0.021,0.66,0.433,610000,-8.533,0.0505,0,11
80,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,52WJylnB6VwQqqNhWM2P0O,Om Namo Vasudevaya,Tali Muss,19,2021-06-29,Sanctuary Of Sounds,0.788,0.0511,121.996,0.0557,0.00116,0.885,0.799,411148,-8.713,0.172,1,2
81,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6acgInKNb1DtYaPiMwMUde,No Time - Tali Muss Remix,Tomi H,13,2021-10-08,Sanctuary Of Sounds,0.932,0.0781,123.991,0.0407,0.00031,0.744,0.797,421935,-6.234,0.0362,1,5
82,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6acgInKNb1DtYaPiMwMUde,No Time - Tali Muss Remix,Tomi H,13,2021-10-08,Sanctuary Of Sounds,0.932,0.0781,123.991,0.0407,0.00031,0.744,0.797,421935,-6.234,0.0362,1,5
83,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5TYXHJOaO4vEkwIKB2FbJb,Ganesa - Original Mix,Tali Muss,10,2018-06-18,Sanctuary Of Sounds,0.808,0.409,124.996,0.0572,0.00445,0.775,0.71,407040,-7.533,0.369,1,0
84,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5TYXHJOaO4vEkwIKB2FbJb,Ganesa - Original Mix,Tali Muss,10,2018-06-18,Sanctuary Of Sounds,0.808,0.409,124.996,0.0572,0.00445,0.775,0.71,407040,-7.533,0.369,1,0
85,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5TYXHJOaO4vEkwIKB2FbJb,Ganesa - Original Mix,Tali Muss,10,2018-06-18,Sanctuary Of Sounds,0.808,0.409,124.996,0.0572,0.00445,0.775,0.71,407040,-7.533,0.369,1,0
86,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,2vvJwfHGz1EPQulDHYyIzb,Ananda - QDream Remix,Stan Kolev,4,2019-07-08,Sanctuary Of Sounds,0.592,0.052,123.02,0.11,0.00101,0.902,0.778,499595,-7.88,0.484,0,10
87,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4VUUhuyrdBrrJV5ifJ8iLA,Inferno,Stan Kolev,19,2019-10-16,Sanctuary Of Sounds,0.652,0.102,122.992,0.0472,0.000729,0.874,0.752,460610,-10.406,0.704,1,5
88,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4VUUhuyrdBrrJV5ifJ8iLA,Inferno,Stan Kolev,19,2019-10-16,Sanctuary Of Sounds,0.652,0.102,122.992,0.0472,0.000729,0.874,0.752,460610,-10.406,0.704,1,5
89,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5r99ZJYr0IZOgAVpyOOvfx,Water Of Life (Original Mix),Stan Kolev,5,2011-02-04,Sanctuary Of Sounds,0.523,0.0876,125.996,0.0563,0.001,0.915,0.731,466191,-8.892,0.0508,0,11
90,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6zocbUXAhxoFV9wzE49B7E,Samadhi - 2022 Rework,Stan Kolev,6,2022-09-02,Sanctuary Of Sounds,0.525,0.611,123.025,0.077,0.000224,0.86,0.8,460976,-12.621,0.306,0,4
91,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6zocbUXAhxoFV9wzE49B7E,Samadhi - 2022 Rework,Stan Kolev,6,2022-09-02,Sanctuary Of Sounds,0.525,0.611,123.025,0.077,0.000224,0.86,0.8,460976,-12.621,0.306,0,4
92,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,3jANUMs34VImF42gTp3G5W,Rhythm - Original Mix,Matan Caspi,31,2018-07-23,Sanctuary Of Sounds,0.677,0.0266,123.007,0.0414,0.00217,0.913,0.733,412685,-12.152,0.307,1,8
93,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,37AZ4x7ndOi7Mh5zXd1TBq,Apollo 8 Code,Dreaming Cooper,4,2022-12-16,Sanctuary Of Sounds,0.894,0.115,104.979,0.0438,0.0253,0.885,0.441,458000,-7.324,0.332,1,7
94,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6LyyzkAXT4Q2viS52lmjl2,The ancient art of stealing butter,Aron Estocolmo,8,2020-10-30,Sanctuary Of Sounds,0.572,0.0867,100.001,0.0445,0.47,0.891,0.751,220200,-9.91,0.567,1,8
95,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6r6MWGwaiUQ6ljRIVfBi8w,Leave - Cosmonaut Remix,Underground Ticket,12,2017-10-09,Sanctuary Of Sounds,0.732,0.246,119.999,0.0365,0.00027,0.818,0.695,457000,-7.288,0.2,0,1
96,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,19Kjgxz5XPeagF9ZSPVJeL,Comfortably Numb 2022,Roger Waters,51,2022-12-09,Sanctuary Of Sounds,0.209,0.118,119.926,0.0344,0.515,0.743,0.356,510339,-13.931,0.0575,0,9
97,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,19Kjgxz5XPeagF9ZSPVJeL,Comfortably Numb 2022,Roger Waters,51,2022-12-09,Sanctuary Of Sounds,0.209,0.118,119.926,0.0344,0.515,0.743,0.356,510339,-13.931,0.0575,0,9
