,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Familiar Stars - Desert Dwellers Remix,0.371,0.56,2.0,-11.51,0.0,0.0503,0.00856,0.37,0.248,0.129,174.075,audio_features,79oIQZImBlZ2zAGfuvE2y7,spotify:track:79oIQZImBlZ2zAGfuvE2y7,https://api.spotify.com/v1/tracks/79oIQZImBlZ2zAGfuvE2y7,https://api.spotify.com/v1/audio-analysis/79oIQZImBlZ2zAGfuvE2y7,236701.0,4.0
Semilla Pura - Mose Remix,,,,,,,,,,,,,,,,,,
Divide,0.494,0.572,0.0,-5.688,1.0,0.034,0.0137,3.25e-06,0.433,0.229,85.11,audio_features,3CvMXAVFGmfq56tvUAa9ip,spotify:track:3CvMXAVFGmfq56tvUAa9ip,https://api.spotify.com/v1/tracks/3CvMXAVFGmfq56tvUAa9ip,https://api.spotify.com/v1/audio-analysis/3CvMXAVFGmfq56tvUAa9ip,241849.0,4.0
In My Bubble,0.62,0.901,9.0,-6.572,0.0,0.0332,0.119,0.897,0.102,0.425,121.997,audio_features,2rNH5158cVeCiDA0e3qXN0,spotify:track:2rNH5158cVeCiDA0e3qXN0,https://api.spotify.com/v1/tracks/2rNH5158cVeCiDA0e3qXN0,https://api.spotify.com/v1/audio-analysis/2rNH5158cVeCiDA0e3qXN0,338000.0,4.0
"Praise Her, The Fire Keeper - Eternell Turn to Sky Mix",0.162,0.206,2.0,-19.771,0.0,0.0376,0.738,0.935,0.739,0.0317,110.352,audio_features,7KKUUwFOkB4a93d4f9UcU9,spotify:track:7KKUUwFOkB4a93d4f9UcU9,https://api.spotify.com/v1/tracks/7KKUUwFOkB4a93d4f9UcU9,https://api.spotify.com/v1/audio-analysis/7KKUUwFOkB4a93d4f9UcU9,430797.0,3.0
Feeling Within - Original Mix,0.434,0.58,1.0,-10.798,1.0,0.035,0.572,0.946,0.137,0.303,154.601,audio_features,38T88JYrTfXy9ytPCpcrSk,spotify:track:38T88JYrTfXy9ytPCpcrSk,https://api.spotify.com/v1/tracks/38T88JYrTfXy9ytPCpcrSk,https://api.spotify.com/v1/audio-analysis/38T88JYrTfXy9ytPCpcrSk,167779.0,3.0
Prem Se Ka Jog Dele Nagpuri Song,,,,,,,,,,,,,,,,,,
Hara,0.573,0.473,7.0,-12.535,1.0,0.0321,0.509,0.903,0.0971,0.0392,132.913,audio_features,35paNBH84zGk9PtpL2kWo0,spotify:track:35paNBH84zGk9PtpL2kWo0,https://api.spotify.com/v1/tracks/35paNBH84zGk9PtpL2kWo0,https://api.spotify.com/v1/audio-analysis/35paNBH84zGk9PtpL2kWo0,194887.0,4.0
Cloud Castle,0.556,0.563,0.0,-6.731,1.0,0.0523,0.04,0.9,0.245,0.349,83.9,audio_features,4XX98IFgGNlKNgJi7ozYKg,spotify:track:4XX98IFgGNlKNgJi7ozYKg,https://api.spotify.com/v1/tracks/4XX98IFgGNlKNgJi7ozYKg,https://api.spotify.com/v1/audio-analysis/4XX98IFgGNlKNgJi7ozYKg,63214.0,4.0
Future,,,,,,,,,,,,,,,,,,
